crop,Location,Year,Plot,Trt,Herbicide,Rate (oz/A),GPA,species,dens,densitym,control
corn,Janesville,2018,312,16,Check,0,0,lambs,1.5,12,0
corn,Janesville,2018,403,16,Check,0,0,lambs,1,8,0
corn,Janesville,2018,116,16,Check,0,0,velvetleaf,1,8,0
corn,Janesville,2018,206,16,Check,0,0,velvetleaf,0,1,0
corn,Janesville,2018,312,16,Check,0,0,velvetleaf,0,1,0
corn,Janesville,2018,403,16,Check,0,0,velvetleaf,0,1,0
corn,Janesville,2018,116,16,Check,0,0,grass,0,1,0
corn,Janesville,2018,206,16,Check,0,0,grass,0,1,0
corn,Janesville,2018,312,16,Check,0,0,grass,0,1,0
corn,Janesville,2018,403,16,Check,0,0,grass,0,1,0
corn,Janesville,2018,116,16,Check,0,0,pigweed,0,1,0
corn,Janesville,2018,206,16,Check,0,0,pigweed,1,8,0
corn,Janesville,2018,312,16,Check,0,0,pigweed,0,1,0
corn,Janesville,2018,403,16,Check,0,0,pigweed,1,8,0
corn,Arlington,2019,106,6,Acuron Flexi,2.25,2.5,common ragweed,0,1,90
corn,Arlington,2019,202,6,Acuron Flexi,2.25,2.5,common ragweed,0,1,95
corn,Arlington,2019,311,6,Acuron Flexi,2.25,2.5,common ragweed,0,1,90
corn,Arlington,2019,405,6,Acuron Flexi,2.25,2.5,common ragweed,0,1,95
corn,Arlington,2019,116,16,Check,0,0,velvetleaf,3,16.1,0
corn,Arlington,2019,204,16,Check,0,0,velvetleaf,1,5.4,0
corn,Arlington,2019,312,16,Check,0,0,velvetleaf,6,32.3,0
corn,Arlington,2019,408,16,Check,0,0,velvetleaf,5,26.9,0
corn,Arlington,2019,116,16,Check,0,0,lambs,5,26.9,0
corn,Arlington,2019,204,16,Check,0,0,lambs,9,48.4,0
corn,Arlington,2019,312,16,Check,0,0,lambs,7,37.7,0
corn,Arlington,2019,408,16,Check,0,0,lambs,3,16.1,0
corn,Arlington,2019,116,16,Check,0,0,grass,4,21.5,0
corn,Arlington,2019,204,16,Check,0,0,grass,4,21.5,0
corn,Arlington,2019,312,16,Check,0,0,grass,6,32.3,0
corn,Arlington,2019,408,16,Check,0,0,grass,0,1,0
soybean,Arlington,2018,101,1,Canopy DF,2.25,2.5,common ragweed,3,24,85
soybean,Arlington,2018,210,1,Canopy DF,2.25,2.5,common ragweed,1.5,12,20
soybean,Arlington,2018,304,1,Canopy DF,2.25,2.5,common ragweed,1,8,90
soybean,Arlington,2018,407,1,Canopy DF,2.25,2.5,common ragweed,0,1,95
soybean,Arlington,2018,101,1,Canopy DF,2.25,2.5,lambs,0.5,4,85
soybean,Arlington,2018,210,1,Canopy DF,2.25,2.5,lambs,0,1,20
soybean,Arlington,2018,304,1,Canopy DF,2.25,2.5,lambs,0,1,99
soybean,Arlington,2018,407,1,Canopy DF,2.25,2.5,lambs,0,1,95
soybean,Arlington,2018,101,1,Canopy DF,2.25,2.5,velvetleaf,1,8,90
soybean,Arlington,2018,210,1,Canopy DF,2.25,2.5,velvetleaf,4,32,20
soybean,Arlington,2018,304,1,Canopy DF,2.25,2.5,velvetleaf,0,1,99
soybean,Arlington,2018,407,1,Canopy DF,2.25,2.5,velvetleaf,0,1,90
soybean,Arlington,2018,101,1,Canopy DF,2.25,2.5,grass,2,16,88
soybean,Arlington,2018,210,1,Canopy DF,2.25,2.5,grass,20,160,20
soybean,Arlington,2018,304,1,Canopy DF,2.25,2.5,grass,3.5,28,80
soybean,Arlington,2018,407,1,Canopy DF,2.25,2.5,grass,2,16,90
soybean,Arlington,2018,101,1,Canopy DF,2.25,2.5,smartweed,0,1,99
soybean,Arlington,2018,210,1,Canopy DF,2.25,2.5,smartweed,0,1,99
soybean,Arlington,2018,304,1,Canopy DF,2.25,2.5,smartweed,0,1,99
soybean,Arlington,2018,407,1,Canopy DF,2.25,2.5,smartweed,0,1,99
soybean,Arlington,2018,101,1,Canopy DF,2.25,2.5,eb nightshade,0.5,4,99
soybean,Arlington,2018,210,1,Canopy DF,2.25,2.5,eb nightshade,0,1,99
soybean,Arlington,2018,304,1,Canopy DF,2.25,2.5,eb nightshade,0.5,4,99
soybean,Arlington,2018,407,1,Canopy DF,2.25,2.5,eb nightshade,1,8,99
soybean,Arlington,2018,106,6,Verdict,5,2.5,common ragweed,2,16,93
soybean,Arlington,2018,212,6,Verdict,5,2.5,common ragweed,1.5,12,80
soybean,Arlington,2018,305,6,Verdict,5,2.5,common ragweed,0.5,4,95
soybean,Arlington,2018,414,6,Verdict,5,2.5,common ragweed,0,1,88
soybean,Arlington,2018,106,6,Verdict,5,2.5,lambs,0,1,99
soybean,Arlington,2018,212,6,Verdict,5,2.5,lambs,3,24,85
soybean,Arlington,2018,305,6,Verdict,5,2.5,lambs,0,1,99
soybean,Arlington,2018,414,6,Verdict,5,2.5,lambs,1.5,12,80
soybean,Arlington,2018,106,6,Verdict,5,2.5,velvetleaf,0.5,4,95
soybean,Arlington,2018,212,6,Verdict,5,2.5,velvetleaf,1,8,80
soybean,Arlington,2018,305,6,Verdict,5,2.5,velvetleaf,0,1,99
soybean,Arlington,2018,414,6,Verdict,5,2.5,velvetleaf,0.5,4,80
soybean,Arlington,2018,106,6,Verdict,5,2.5,grass,0.5,4,90
soybean,Arlington,2018,212,6,Verdict,5,2.5,grass,2.5,20,85
soybean,Arlington,2018,305,6,Verdict,5,2.5,grass,3,24,80
soybean,Arlington,2018,414,6,Verdict,5,2.5,grass,14.5,116,65
soybean,Arlington,2018,106,6,Verdict,5,2.5,smartweed,0,1,99
soybean,Arlington,2018,212,6,Verdict,5,2.5,smartweed,0,1,99
soybean,Arlington,2018,305,6,Verdict,5,2.5,smartweed,0,1,99
soybean,Arlington,2018,414,6,Verdict,5,2.5,smartweed,0,1,99
soybean,Arlington,2018,106,6,Verdict,5,2.5,eb nightshade,0,1,99
soybean,Arlington,2018,212,6,Verdict,5,2.5,eb nightshade,0,1,99
soybean,Arlington,2018,305,6,Verdict,5,2.5,eb nightshade,0,1,99
soybean,Arlington,2018,414,6,Verdict,5,2.5,eb nightshade,0,1,99
soybean,Arlington,2018,111,11,Fierce,4,2.5,common ragweed,3,24,80
soybean,Arlington,2018,204,11,Fierce,4,2.5,common ragweed,1.5,12,85
soybean,Arlington,2018,313,11,Fierce,4,2.5,common ragweed,0,1,93
soybean,Arlington,2018,402,11,Fierce,4,2.5,common ragweed,0,1,95
soybean,Arlington,2018,111,11,Fierce,4,2.5,lambs,5,40,80
soybean,Arlington,2018,204,11,Fierce,4,2.5,lambs,4,32,85
soybean,Arlington,2018,313,11,Fierce,4,2.5,lambs,1.5,12,90
soybean,Arlington,2018,402,11,Fierce,4,2.5,lambs,0.5,4,85
soybean,Arlington,2018,111,11,Fierce,4,2.5,velvetleaf,0.5,4,95
soybean,Arlington,2018,204,11,Fierce,4,2.5,velvetleaf,0.5,4,95
soybean,Arlington,2018,313,11,Fierce,4,2.5,velvetleaf,0.5,4,88
soybean,Arlington,2018,402,11,Fierce,4,2.5,velvetleaf,0,1,90
soybean,Arlington,2018,111,11,Fierce,4,2.5,grass,10.5,84,75
soybean,Arlington,2018,204,11,Fierce,4,2.5,grass,9,72,80
soybean,Arlington,2018,313,11,Fierce,4,2.5,grass,7.5,60,70
soybean,Arlington,2018,402,11,Fierce,4,2.5,grass,5.5,44,88
soybean,Arlington,2018,111,11,Fierce,4,2.5,smartweed,0,1,99
soybean,Arlington,2018,204,11,Fierce,4,2.5,smartweed,0,1,99
soybean,Arlington,2018,313,11,Fierce,4,2.5,smartweed,0,1,99
soybean,Arlington,2018,402,11,Fierce,4,2.5,smartweed,0,1,99
soybean,Arlington,2018,111,11,Fierce,4,2.5,eb nightshade,0,1,99
soybean,Arlington,2018,204,11,Fierce,4,2.5,eb nightshade,0,1,99
soybean,Arlington,2018,313,11,Fierce,4,2.5,eb nightshade,0,1,99
soybean,Arlington,2018,402,11,Fierce,4,2.5,eb nightshade,0,1,99
soybean,Janesville,2018,101,1,Canopy DF,2.25,2.5,giant ragweed,0.5,4,80
soybean,Janesville,2018,211,1,Canopy DF,2.25,2.5,giant ragweed,0.5,4,80
soybean,Janesville,2018,306,1,Canopy DF,2.25,2.5,giant ragweed,0.5,4,85
soybean,Janesville,2018,403,1,Canopy DF,2.25,2.5,giant ragweed,0.5,4,90
soybean,Janesville,2018,101,1,Canopy DF,2.25,2.5,lambs,0,1,99
soybean,Janesville,2018,211,1,Canopy DF,2.25,2.5,lambs,0,1,99
soybean,Janesville,2018,306,1,Canopy DF,2.25,2.5,lambs,0,1,99
soybean,Janesville,2018,403,1,Canopy DF,2.25,2.5,lambs,0,1,99
soybean,Janesville,2018,101,1,Canopy DF,2.25,2.5,velvetleaf,0,1,99
soybean,Janesville,2018,211,1,Canopy DF,2.25,2.5,velvetleaf,0,1,99
soybean,Janesville,2018,306,1,Canopy DF,2.25,2.5,velvetleaf,0,1,99
soybean,Janesville,2018,403,1,Canopy DF,2.25,2.5,velvetleaf,0,1,99
soybean,Janesville,2018,101,1,Canopy DF,2.25,2.5,grass,5,40,65
soybean,Janesville,2018,211,1,Canopy DF,2.25,2.5,grass,0.5,4,85
soybean,Janesville,2018,306,1,Canopy DF,2.25,2.5,grass,0,1,99
soybean,Janesville,2018,403,1,Canopy DF,2.25,2.5,grass,5.5,44,85
soybean,Janesville,2018,101,1,Canopy DF,2.25,2.5,pigweed,0,1,99
soybean,Janesville,2018,211,1,Canopy DF,2.25,2.5,pigweed,0,1,99
soybean,Janesville,2018,306,1,Canopy DF,2.25,2.5,pigweed,0,1,99
soybean,Janesville,2018,403,1,Canopy DF,2.25,2.5,pigweed,0,1,99
soybean,Janesville,2018,106,6,Verdict,5,2.5,giant ragweed,4,32,10
soybean,Janesville,2018,203,6,Verdict,5,2.5,giant ragweed,5,40,5
soybean,Janesville,2018,314,6,Verdict,5,2.5,giant ragweed,2,16,5
soybean,Janesville,2018,411,6,Verdict,5,2.5,giant ragweed,0.5,4,75
soybean,Janesville,2018,106,6,Verdict,5,2.5,lambs,0,1,99
soybean,Janesville,2018,203,6,Verdict,5,2.5,lambs,0,1,99
soybean,Janesville,2018,314,6,Verdict,5,2.5,lambs,0,1,99
soybean,Janesville,2018,411,6,Verdict,5,2.5,lambs,1,8,90
soybean,Janesville,2018,106,6,Verdict,5,2.5,velvetleaf,0,1,99
soybean,Janesville,2018,203,6,Verdict,5,2.5,velvetleaf,0,1,99
soybean,Janesville,2018,314,6,Verdict,5,2.5,velvetleaf,0,1,99
soybean,Janesville,2018,411,6,Verdict,5,2.5,velvetleaf,0,1,99
soybean,Janesville,2018,106,6,Verdict,5,2.5,grass,1,8,88
soybean,Janesville,2018,203,6,Verdict,5,2.5,grass,0.5,4,99
soybean,Janesville,2018,314,6,Verdict,5,2.5,grass,0,1,99
soybean,Janesville,2018,411,6,Verdict,5,2.5,grass,0.5,4,90
soybean,Janesville,2018,106,6,Verdict,5,2.5,pigweed,0,1,99
soybean,Janesville,2018,203,6,Verdict,5,2.5,pigweed,0,1,99
soybean,Janesville,2018,314,6,Verdict,5,2.5,pigweed,0,1,99
soybean,Janesville,2018,411,6,Verdict,5,2.5,pigweed,0,1,99
soybean,Janesville,2018,111,11,Fierce,4,2.5,giant ragweed,0.5,4,88
soybean,Janesville,2018,206,11,Fierce,4,2.5,giant ragweed,5,40,5
soybean,Janesville,2018,315,11,Fierce,4,2.5,giant ragweed,4.5,36,0
soybean,Janesville,2018,408,11,Fierce,4,2.5,giant ragweed,0.5,4,75
soybean,Janesville,2018,111,11,Fierce,4,2.5,lambs,0,1,99
soybean,Janesville,2018,206,11,Fierce,4,2.5,lambs,0,1,99
soybean,Janesville,2018,315,11,Fierce,4,2.5,lambs,0,1,99
soybean,Janesville,2018,408,11,Fierce,4,2.5,lambs,0,1,99
soybean,Janesville,2018,111,11,Fierce,4,2.5,velvetleaf,0,1,99
soybean,Janesville,2018,206,11,Fierce,4,2.5,velvetleaf,0,1,99
soybean,Janesville,2018,315,11,Fierce,4,2.5,velvetleaf,0,1,99
soybean,Janesville,2018,408,11,Fierce,4,2.5,velvetleaf,0,1,99
soybean,Janesville,2018,111,11,Fierce,4,2.5,grass,0,1,99
soybean,Janesville,2018,206,11,Fierce,4,2.5,grass,0,1,99
soybean,Janesville,2018,315,11,Fierce,4,2.5,grass,0,1,99
soybean,Janesville,2018,408,11,Fierce,4,2.5,grass,0,1,99
soybean,Janesville,2018,111,11,Fierce,4,2.5,pigweed,0,1,99
soybean,Janesville,2018,206,11,Fierce,4,2.5,pigweed,0,1,99
soybean,Janesville,2018,315,11,Fierce,4,2.5,pigweed,0,1,99
soybean,Janesville,2018,408,11,Fierce,4,2.5,pigweed,0,1,99
soybean,Arlington,2019,105,5,Canopy DF,2.25,17.5,common ragweed,1,5.4,99
soybean,Arlington,2019,101,1,Canopy DF,2.25,2.5,velvetleaf,0,1,99
soybean,Arlington,2019,101,1,Canopy DF,2.25,2.5,lambs,0,1,99
soybean,Arlington,2019,101,1,Canopy DF,2.25,2.5,grass,2,10.8,93
soybean,Arlington,2019,106,6,Verdict,5,2.5,common ragweed,0,,95
soybean,Arlington,2019,205,1,Canopy DF,2.25,2.5,velvetleaf,0,,99
soybean,Arlington,2019,205,1,Canopy DF,2.25,2.5,lambs,0,,99
soybean,Arlington,2019,205,1,Canopy DF,2.25,2.5,grass,0,1,99
soybean,Arlington,2019,107,7,Verdict,5,5,common ragweed,1,5.4,95
soybean,Arlington,2019,313,1,Canopy DF,2.25,2.5,velvetleaf,0,1,99
soybean,Arlington,2019,313,1,Canopy DF,2.25,2.5,lambs,1,5.4,99
soybean,Arlington,2019,313,1,Canopy DF,2.25,2.5,grass,1,5.4,96
soybean,Arlington,2019,108,8,Verdict,5,10,common ragweed,6,32.3,75
soybean,Arlington,2019,410,1,Canopy DF,2.25,2.5,velvetleaf,0,1,83
soybean,Arlington,2019,410,1,Canopy DF,2.25,2.5,lambs,1,5.4,94
soybean,Arlington,2019,410,1,Canopy DF,2.25,2.5,grass,0,1,92
soybean,Arlington,2019,109,9,Verdict,5,15,common ragweed,0,1,99
soybean,Arlington,2019,106,6,Verdict,5,2.5,velvetleaf,0,1,99
soybean,Arlington,2019,106,6,Verdict,5,2.5,lambs,1,5.4,98
soybean,Arlington,2019,106,6,Verdict,5,2.5,grass,4,21.5,94
soybean,Arlington,2019,110,10,Verdict,5,17.5,common ragweed,1,5.4,98
soybean,Arlington,2019,202,6,Verdict,5,2.5,velvetleaf,0,1,99
soybean,Arlington,2019,202,6,Verdict,5,2.5,lambs,0,1,99
soybean,Arlington,2019,202,6,Verdict,5,2.5,grass,0,1,99
soybean,Arlington,2019,111,11,Fierce,4,2.5,common ragweed,2,10.8,80
soybean,Arlington,2019,316,6,Verdict,5,2.5,velvetleaf,2,10.8,87
soybean,Arlington,2019,316,6,Verdict,5,2.5,lambs,0,1,90
soybean,Arlington,2019,316,6,Verdict,5,2.5,grass,0,1,99
soybean,Arlington,2019,112,12,Fierce,4,5,common ragweed,7,37.7,70
soybean,Arlington,2019,411,6,Verdict,5,2.5,velvetleaf,0,1,98
soybean,Arlington,2019,411,6,Verdict,5,2.5,lambs,2,10.8,96
soybean,Arlington,2019,411,6,Verdict,5,2.5,grass,0,1,99
soybean,Arlington,2019,113,13,Fierce,4,10,common ragweed,0,1,99
soybean,Arlington,2019,111,11,Fierce,4,2.5,velvetleaf,0,1,99
soybean,Arlington,2019,111,11,Fierce,4,2.5,lambs,0,1,99
soybean,Arlington,2019,111,11,Fierce,4,2.5,grass,0,1,99
soybean,Arlington,2019,114,14,Fierce,4,15,common ragweed,0,1,99
soybean,Arlington,2019,210,11,Fierce,4,2.5,velvetleaf,0,1,99
soybean,Arlington,2019,210,11,Fierce,4,2.5,lambs,0,1,99
soybean,Arlington,2019,210,11,Fierce,4,2.5,grass,0,1,99
soybean,Arlington,2019,115,15,Fierce,4,17.5,common ragweed,0,1,99
soybean,Arlington,2019,302,11,Fierce,4,2.5,velvetleaf,0,1,99
soybean,Arlington,2019,302,11,Fierce,4,2.5,lambs,0,1,99
soybean,Arlington,2019,302,11,Fierce,4,2.5,grass,0,1,99
soybean,Arlington,2019,116,16,Check,0,0,common ragweed,2,10.8,93
soybean,Arlington,2019,414,11,Fierce,4,2.5,velvetleaf,0,1,99
soybean,Arlington,2019,414,11,Fierce,4,2.5,lambs,0,1,99
soybean,Arlington,2019,414,11,Fierce,4,2.5,grass,0,1,99
corn,Arlington,2018,101,1,Resicore,1.75,2.5,common ragweed,0,1,90
corn,Arlington,2018,211,1,Resicore,1.75,2.5,common ragweed,0,1,95
corn,Arlington,2018,315,1,Resicore,1.75,2.5,common ragweed,0,1,99
corn,Arlington,2018,402,1,Resicore,1.75,2.5,common ragweed,0,1,95
corn,Arlington,2018,101,1,Resicore,1.75,2.5,lambs,0,1,90
corn,Arlington,2018,211,1,Resicore,1.75,2.5,lambs,0,1,95
corn,Arlington,2018,315,1,Resicore,1.75,2.5,lambs,0,1,90
corn,Arlington,2018,402,1,Resicore,1.75,2.5,lambs,0,1,95
corn,Arlington,2018,101,1,Resicore,1.75,2.5,velvetleaf,0.5,4,90
corn,Arlington,2018,211,1,Resicore,1.75,2.5,velvetleaf,0,1,95
corn,Arlington,2018,315,1,Resicore,1.75,2.5,velvetleaf,0,1,95
corn,Arlington,2018,402,1,Resicore,1.75,2.5,velvetleaf,0,1,95
corn,Arlington,2018,101,1,Resicore,1.75,2.5,grass,8,64,75
corn,Arlington,2018,211,1,Resicore,1.75,2.5,grass,5,40,82
corn,Arlington,2018,315,1,Resicore,1.75,2.5,grass,5,40,80
corn,Arlington,2018,402,1,Resicore,1.75,2.5,grass,2,16,95
corn,Arlington,2018,106,6,Acuron Flexi,2.25,2.5,common ragweed,0,1,99
corn,Arlington,2018,213,6,Acuron Flexi,2.25,2.5,common ragweed,0,1,90
corn,Arlington,2018,307,6,Acuron Flexi,2.25,2.5,common ragweed,0,1,95
corn,Arlington,2018,401,6,Acuron Flexi,2.25,2.5,common ragweed,0,1,90
corn,Arlington,2018,106,6,Acuron Flexi,2.25,2.5,lambs,0,1,95
corn,Arlington,2018,213,6,Acuron Flexi,2.25,2.5,lambs,0,1,95
corn,Arlington,2018,307,6,Acuron Flexi,2.25,2.5,lambs,0,1,95
corn,Arlington,2018,401,6,Acuron Flexi,2.25,2.5,lambs,0,1,90
corn,Arlington,2018,106,6,Acuron Flexi,2.25,2.5,velvetleaf,0,1,95
corn,Arlington,2018,213,6,Acuron Flexi,2.25,2.5,velvetleaf,0,1,90
corn,Arlington,2018,307,6,Acuron Flexi,2.25,2.5,velvetleaf,0,1,95
corn,Arlington,2018,401,6,Acuron Flexi,2.25,2.5,velvetleaf,0,1,90
corn,Arlington,2018,106,6,Acuron Flexi,2.25,2.5,grass,6,48,80
corn,Arlington,2018,213,6,Acuron Flexi,2.25,2.5,grass,1.5,12,85
corn,Arlington,2018,307,6,Acuron Flexi,2.25,2.5,grass,5,40,70
corn,Arlington,2018,401,6,Acuron Flexi,2.25,2.5,grass,2,16,90
corn,Arlington,2018,111,11,Anthem Maxx,4,2.5,common ragweed,0.5,4,50
corn,Arlington,2018,209,11,Anthem Maxx,4,2.5,common ragweed,0,1,20
corn,Arlington,2018,304,11,Anthem Maxx,4,2.5,common ragweed,0.5,4,70
corn,Arlington,2018,412,11,Anthem Maxx,4,2.5,common ragweed,0,1,20
corn,Arlington,2018,111,11,Anthem Maxx,4,2.5,lambs,1,8,90
corn,Arlington,2018,209,11,Anthem Maxx,4,2.5,lambs,3,24,15
corn,Arlington,2018,304,11,Anthem Maxx,4,2.5,lambs,0,1,30
corn,Arlington,2018,412,11,Anthem Maxx,4,2.5,lambs,0,1,20
corn,Arlington,2018,111,11,Anthem Maxx,4,2.5,velvetleaf,0.5,4,40
corn,Arlington,2018,209,11,Anthem Maxx,4,2.5,velvetleaf,0.5,4,10
corn,Arlington,2018,304,11,Anthem Maxx,4,2.5,velvetleaf,0.5,4,30
corn,Arlington,2018,412,11,Anthem Maxx,4,2.5,velvetleaf,0,1,20
corn,Arlington,2018,111,11,Anthem Maxx,4,2.5,grass,3.5,28,40
corn,Arlington,2018,209,11,Anthem Maxx,4,2.5,grass,4.5,36,10
corn,Arlington,2018,304,11,Anthem Maxx,4,2.5,grass,7.5,60,30
corn,Arlington,2018,412,11,Anthem Maxx,4,2.5,grass,5,40,20
corn,Janesville,2018,101,1,Resicore,1.75,2.5,giant ragweed,1,8,75
corn,Janesville,2018,213,1,Resicore,1.75,2.5,giant ragweed,1,8,90
corn,Janesville,2018,307,1,Resicore,1.75,2.5,giant ragweed,1.5,12,90
corn,Janesville,2018,410,1,Resicore,1.75,2.5,giant ragweed,2.5,20,75
corn,Janesville,2018,101,1,Resicore,1.75,2.5,lambs,0,1,99
corn,Janesville,2018,213,1,Resicore,1.75,2.5,lambs,0,1,99
corn,Janesville,2018,307,1,Resicore,1.75,2.5,lambs,0,1,99
corn,Janesville,2018,410,1,Resicore,1.75,2.5,lambs,0,1,99
corn,Janesville,2018,101,1,Resicore,1.75,2.5,velvetleaf,0,1,99
corn,Janesville,2018,213,1,Resicore,1.75,2.5,velvetleaf,0.5,4,90
corn,Janesville,2018,307,1,Resicore,1.75,2.5,velvetleaf,0,1,99
corn,Janesville,2018,410,1,Resicore,1.75,2.5,velvetleaf,0,1,92
corn,Janesville,2018,101,1,Resicore,1.75,2.5,grass,0,1,97
corn,Janesville,2018,213,1,Resicore,1.75,2.5,grass,1.5,12,97
corn,Janesville,2018,307,1,Resicore,1.75,2.5,grass,0,1,97
corn,Janesville,2018,410,1,Resicore,1.75,2.5,grass,0,1,95
corn,Janesville,2018,101,1,Resicore,1.75,2.5,pigweed,0,1,99
corn,Janesville,2018,213,1,Resicore,1.75,2.5,pigweed,0.5,4,90
corn,Janesville,2018,307,1,Resicore,1.75,2.5,pigweed,0,1,99
corn,Janesville,2018,410,1,Resicore,1.75,2.5,pigweed,0,1,99
